"weight";"word";"color";"url"
"15";"privacy";"";""
"10";"wireless";"";""
"8";"network";"";""
"8";"security";"";""
"7";"attack";"";""
"7";"big data";"";""
"7";"IoT";"";""
"6";"adversarial";"";""
"6";"cloud";"";""
"6";"cryptography";"";""
"6";"differential privacy";"";""
"6";"distributed learning";"";""
"6";"edge computing";"";""
"6";"federated learning";"";""
"6";"graph";"";""
"6";"mobile";"";""
"6";"neural network";"";""
"5";"certified defense";"";""
"5";"collaborative";"";""
"5";"crowdsensing";"";""
"5";"energy";"";""
"5";"location";"";""
"5";"optimization";"";""
"5";"reinforcement learning";"";""
"5";"trade-off";"";""
"5";"UAV";"";""
"4";"CPS";"";""
"4";"data security";"";""
"4";"incentive";"";""
"4";"infectious disease";"";""
"4";"information";"";""
"4";"mHealth";"";""
"4";"randomized smoothing";"";""
"4";"resource management";"";""
"4";"social";"";""
"4";"stochastic";"";""
"3";"biomedical";"";""
"3";"dynamic spectrum access";"";""
"3";"face";"";""
"3";"game theory";"";""
"3";"health";"";""
"3";"poisoning attack";"";""
"3";"robustness";"";""
"3";"traffic";"";""
"2";"smart grids";"";""
"2";"truth discovery";"";""
"2";"website fingerprinting";"";""
